date,value
1980-01-01,338.45
1980-02-01,339.15
1980-03-01,339.47
1980-04-01,339.87
1980-05-01,340.3
1980-06-01,339.86
1980-07-01,338.33
1980-08-01,337.11
1980-09-01,336.94
1980-10-01,337.72
1980-11-01,338.82
1980-12-01,339.54
1981-01-01,340.09
1981-02-01,340.65
1981-03-01,341.28
1981-04-01,341.56
1981-05-01,341.29
1981-06-01,340.49
1981-07-01,339.1
1981-08-01,337.95
1981-09-01,337.86
1981-10-01,338.96
1981-11-01,340.06
1981-12-01,340.63
1982-01-01,341.26
1982-02-01,341.85
1982-03-01,342.13
1982-04-01,342.42
1982-05-01,342.27
1982-06-01,341.39
1982-07-01,339.66
1982-08-01,338.03
1982-09-01,338.08
1982-10-01,339.53
1982-11-01,340.85
1982-12-01,341.68
1983-01-01,342.27
1983-02-01,342.65
1983-03-01,342.94
1983-04-01,343.42
1983-05-01,343.74
1983-06-01,343.41
1983-07-01,342.05
1983-08-01,340.54
1983-09-01,340.46
1983-10-01,341.66
1983-11-01,342.73
1983-12-01,343.39
1984-01-01,344.23
1984-02-01,344.74
1984-03-01,344.87
1984-04-01,345.1
1984-05-01,345.24
1984-06-01,344.48
1984-07-01,343.11
1984-08-01,342.12
1984-09-01,342.05
1984-10-01,342.91
1984-11-01,344.08
1984-12-01,344.93
1985-01-01,345.28
1985-02-01,345.72
1985-03-01,346.56
1985-04-01,346.86
1985-05-01,346.7
1985-06-01,346.19
1985-07-01,344.87
1985-08-01,343.36
1985-09-01,343.31
1985-10-01,344.57
1985-11-01,345.7
1985-12-01,346.45
1986-01-01,347.01
1986-02-01,347.23
1986-03-01,347.61
1986-04-01,348.13
1986-05-01,348.23
1986-06-01,347.67
1986-07-01,346.2
1986-08-01,344.82
1986-09-01,344.77
1986-10-01,345.95
1986-11-01,347.22
1986-12-01,347.68
1987-01-01,347.92
1987-02-01,348.47
1987-03-01,349.2
1987-04-01,349.89
1987-05-01,350.17
1987-06-01,349.4
1987-07-01,347.84
1987-08-01,346.59
1987-09-01,346.64
1987-10-01,347.91
1987-11-01,349.2
1987-12-01,350.15
1988-01-01,350.87
1988-02-01,351.44
1988-03-01,351.82
1988-04-01,352.28
1988-05-01,352.44
1988-06-01,351.75
1988-07-01,350.27
1988-08-01,349.08
1988-09-01,349.26
1988-10-01,350.44
1988-11-01,351.63
1988-12-01,352.49
1989-01-01,353.04
1989-02-01,353.51
1989-03-01,354.06
1989-04-01,354.44
1989-05-01,354.25
1989-06-01,353.31
1989-07-01,351.58
1989-08-01,350.19
1989-09-01,350.52
1989-10-01,351.81
1989-11-01,352.99
1989-12-01,353.85
1990-01-01,354.38
1990-02-01,354.79
1990-03-01,355.12
1990-04-01,355.42
1990-05-01,355.32
1990-06-01,354.23
1990-07-01,352.63
1990-08-01,351.53
