"date,antarctic,mass, decimal time"
"15/10/2014,-1449.55,31.99,2014.79"
"16/11/2014,-1525.51,31.56,2014.88"
"21/1/2015,-1827.04,35.31,2015.06"
"12/2/2015,-1902.84,56.93,2015.12"
"13/3/2015,-1873.02,30.75,2015.2"
"15/4/2015,-1851.03,32.24,2015.29"
"26/4/2015,-1777.6,34.83,2015.32"
"12/7/2015,-1743.12,37.19,2015.53"
"14/8/2015,-1896.64,34.62,2015.62"
"12/9/2015,-1848.65,36.97,2015.7"
"23/12/2015,-1893.05,36.86,2015.98"
"14/1/2016,-1916.89,35.36,2016.04"
"12/2/2016,-1992.94,34.1,2016.12"
"16/3/2016,-1927.86,35.08,2016.21"
"17/5/2016,-1790.27,37.4,2016.38"
"16/6/2016,-1774.14,34.44,2016.46"
"15/7/2016,-1654.36,34.27,2016.54"
"20/8/2016,-1599.56,36.53,2016.64"
"27/11/2016,-1670.09,61.29,2016.91"
"22/12/2016,-1584.9,61.17,2016.98"
"21/1/2017,-1603.61,60.6,2017.06"
"31/3/2017,-1928.53,61.91,2017.25"
"22/4/2017,-1848.29,61.28,2017.31"
"10/5/2017,-1813.23,59.9,2017.36"
"8/6/2017,-1811.47,59.83,2017.44"
"12/6/2018,-1982.26,35.1,2018.45"
"8/7/2018,-1997.43,31.43,2018.52"
"29/10/2018,-2256.7,30.3,2018.83"
"13/11/2018,-2221.77,28.2,2018.87"
"16/12/2018,-2274.91,27.41,2018.96"
"14/1/2019,-2365.66,27.15,2019.04"
"12/2/2019,-2408.78,27.11,2019.12"
"13/3/2019,-2312.77,26.87,2019.2"
"15/4/2019,-2132.28,26.88,2019.29"
"14/5/2019,-2184.47,26.79,2019.37"
"13/6/2019,-2276.91,26.75,2019.45"
"15/7/2019,-2181.42,26.79,2019.54"
"14/8/2019,-2226.93,26.79,2019.62"
"16/9/2019,-2102.82,26.85,2019.71"
"15/10/2019,-2285.81,27.53,2019.79"
"13/11/2019,-2346.76,28.19,2019.87"
"16/12/2019,-2393.14,28.95,2019.96"
"14/1/2020,-2702.46,30.08,2020.04"
"12/2/2020,-2808.11,30.99,2020.12"
"16/3/2020,-2628.32,31.51,2020.21"
"14/4/2020,-2535.7,32.48,2020.29"
"14/5/2020,-2457.06,33.33,2020.37"
"16/6/2020,-2423.6,39.38,2020.46"
"15/7/2020,-2355.72,46.71,2020.54"
"13/8/2020,-2247.4,54.81,2020.62"
"15/9/2020,-2436.39,63.49,2020.71"
